iter	Passed	Remaining
0	53	53050
1	54	27329
2	55	18426
3	56	14159
4	59	11792
5	60	9991
6	64	9123
7	64	8032
8	65	7192
9	65	6522
10	66	5953
11	66	5479
12	66	5076
13	67	4737
14	67	4445
15	69	4296
16	70	4096
17	71	3925
18	72	3741
19	72	3568
20	73	3449
21	74	3310
22	74	3177
23	75	3058
24	75	2945
25	75	2842
26	76	2745
27	76	2664
28	77	2607
29	78	2529
30	78	2458
31	78	2389
32	79	2330
33	79	2268
34	80	2212
35	80	2158
36	81	2108
37	81	2061
38	81	2017
39	82	1984
40	83	1946
41	83	1909
42	84	1870
43	84	1835
44	84	1799
45	85	1765
46	85	1734
47	85	1704
48	86	1675
49	86	1647
50	87	1619
51	87	1593
52	87	1568
53	88	1543
54	88	1520
55	89	1510
56	90	1489
57	90	1469
58	90	1449
59	91	1429
60	91	1410
61	91	1390
62	92	1371
63	92	1355
64	93	1339
65	93	1322
66	94	1314
67	95	1302
68	95	1288
69	96	1277
70	96	1268
71	97	1262
72	99	1260
73	100	1251
74	100	1239
75	101	1231
76	102	1223
77	103	1219
78	103	1211
79	104	1204
80	105	1200
81	106	1190
82	106	1179
83	107	1167
84	107	1156
85	107	1145
86	108	1135
87	108	1125
88	108	1114
89	109	1105
90	109	1095
91	110	1085
92	110	1076
93	111	1071
94	112	1073
95	113	1064
96	113	1057
97	115	1065
98	116	1056
99	116	1048
100	117	1047
101	118	1040
102	119	1038
103	121	1044
104	122	1041
105	122	1036
106	123	1031
107	124	1025
108	124	1020
109	125	1016
110	126	1012
111	127	1007
112	128	1009
113	129	1004
114	129	1000
115	130	996
116	132	996
117	133	998
118	135	1001
119	135	997
120	136	993
121	137	989
122	138	986
123	139	982
124	139	979
125	140	975
126	141	972
127	142	970
128	143	967
129	143	961
130	144	957
131	144	953
132	145	948
133	146	943
134	146	939
135	147	934
136	147	930
137	148	924
138	148	920
139	149	920
140	150	915
141	150	910
142	150	904
143	151	899
144	151	893
145	151	888
146	152	882
147	152	877
148	152	871
149	152	866
150	153	861
151	153	856
152	153	851
153	154	846
154	154	841
155	154	836
156	155	832
157	155	829
158	156	827
159	156	823
160	157	819
161	157	816
162	158	812
163	158	809
164	159	806
165	159	803
166	160	799
167	160	797
168	161	793
169	162	791
170	162	787
171	163	785
172	163	783
173	164	780
174	164	777
175	165	774
176	165	770
177	166	768
178	167	768
179	168	766
180	168	763
181	169	760
182	169	757
183	170	754
184	170	751
185	171	748
186	171	745
187	172	743
188	172	740
189	173	738
190	173	735
191	174	733
192	174	731
193	175	728
194	176	726
195	176	723
196	176	721
197	177	718
198	178	716
199	178	714
200	179	711
201	179	709
202	180	707
203	180	705
204	181	703
205	187	723
206	188	721
207	188	718
208	189	715
209	189	713
210	190	711
211	190	708
212	190	705
213	191	702
214	191	699
215	192	697
216	192	695
217	193	693
218	193	690
219	194	688
220	194	685
221	194	683
222	195	680
223	195	677
224	195	674
225	195	671
226	196	668
227	196	665
228	196	662
229	197	660
230	197	657
231	197	654
232	198	651
233	198	651
234	199	649
235	201	650
236	201	649
237	202	649
238	203	648
239	204	646
240	204	644
241	205	642
242	205	640
243	206	638
244	206	636
245	207	634
246	207	633
247	208	631
248	208	628
249	208	626
250	209	625
251	209	623
252	210	621
253	210	618
254	211	616
255	211	614
256	211	612
257	212	610
258	212	608
259	213	606
260	213	604
261	213	602
262	214	600
263	214	598
264	215	596
265	215	594
266	215	592
267	216	590
268	216	588
269	216	586
270	217	584
271	217	582
272	218	581
273	218	579
274	218	577
275	219	575
276	219	573
277	220	571
278	220	570
279	221	568
280	221	566
281	221	564
282	222	562
283	222	561
284	223	559
285	223	558
286	223	556
287	224	554
288	224	552
289	225	551
290	225	549
291	226	548
292	227	548
293	227	546
294	228	544
295	228	543
296	228	541
297	229	540
298	229	538
299	229	536
300	230	535
301	230	533
302	231	532
303	232	531
304	232	529
305	232	528
306	233	526
307	233	525
308	234	523
309	234	521
310	234	520
311	235	519
312	236	518
313	236	516
314	236	514
315	237	513
316	237	511
317	237	509
318	237	507
319	238	506
320	238	504
321	238	502
322	239	501
323	239	499
324	239	497
325	240	496
326	240	494
327	240	493
328	241	492
329	241	490
330	242	489
331	242	488
332	243	487
333	243	486
334	244	485
335	251	496
336	252	495
337	252	494
338	253	493
339	253	492
340	254	491
341	254	490
342	255	489
343	256	488
344	256	487
345	257	486
346	257	485
347	258	483
348	258	482
349	259	481
350	259	480
351	260	479
352	261	478
353	261	477
354	261	476
355	262	474
356	262	473
357	263	472
358	263	470
359	264	469
360	264	468
361	264	466
362	265	465
363	265	464
364	266	463
365	266	461
366	267	460
367	267	459
368	267	458
369	268	456
370	268	455
371	269	454
372	269	453
373	270	452
374	270	450
375	270	449
376	271	448
377	271	447
378	272	445
379	272	444
380	272	443
381	273	441
382	273	440
383	274	439
384	274	438
385	274	437
386	275	436
387	276	435
388	276	434
389	277	433
390	277	432
391	278	431
392	279	431
393	279	429
394	279	428
395	280	427
396	280	426
397	280	424
398	281	423
399	281	422
400	281	420
401	282	419
402	282	418
403	282	417
404	283	415
405	287	420
406	288	419
407	288	418
408	289	417
409	289	416
410	290	416
411	290	415
412	291	414
413	292	413
414	292	412
415	293	412
416	294	411
417	294	410
418	295	409
419	295	408
420	296	407
421	296	406
422	297	405
423	298	405
424	298	404
425	299	403
426	300	402
427	304	407
428	305	405
429	305	404
430	305	403
431	306	402
432	306	401
433	307	401
434	308	400
435	308	399
436	309	398
437	310	397
438	310	396
439	311	395
440	311	394
441	312	394
442	312	393
443	313	392
444	314	391
445	314	390
446	315	389
447	315	388
448	316	387
449	316	386
450	317	385
451	317	384
452	317	383
453	318	382
454	318	381
455	318	380
456	319	379
457	319	378
458	319	377
459	320	375
460	320	374
461	321	373
462	321	372
463	321	371
464	322	370
465	322	369
466	322	368
467	323	367
468	323	366
469	323	365
470	324	364
471	324	362
472	324	361
473	325	360
474	325	359
475	325	358
476	326	357
477	326	356
478	327	355
479	327	355
480	329	355
481	329	354
482	333	357
483	334	356
484	334	355
485	335	354
486	335	353
487	336	352
488	336	351
489	336	350
490	337	349
491	337	348
492	338	347
493	338	346
494	339	345
495	339	344
496	339	344
497	340	343
498	340	342
499	341	341
500	341	340
501	342	339
502	342	338
503	342	337
504	343	336
505	343	335
506	343	334
507	344	333
508	344	332
509	344	331
510	345	330
511	345	329
512	345	328
513	346	327
514	346	326
515	346	325
516	347	324
517	347	323
518	347	322
519	348	321
520	348	320
521	348	319
522	349	318
523	349	317
524	349	316
525	349	315
526	350	314
527	350	313
528	350	312
529	351	311
530	351	310
531	351	309
532	352	308
533	352	307
534	352	306
535	353	305
536	353	304
537	353	303
538	354	302
539	354	301
540	354	300
541	354	299
542	355	298
543	355	298
544	355	297
545	356	296
546	356	295
547	356	294
548	357	293
549	357	292
550	357	291
551	358	290
552	358	289
553	358	288
554	359	287
555	359	286
556	359	286
557	359	285
558	360	284
559	360	283
560	360	282
561	361	281
562	361	280
563	361	279
564	362	278
565	362	278
566	362	277
567	363	276
568	363	275
569	364	274
570	364	273
571	364	272
572	364	271
573	365	271
574	365	270
575	365	269
576	366	268
577	366	267
578	366	266
579	367	265
580	367	264
581	367	264
582	368	263
583	368	262
584	368	261
585	369	260
586	369	260
587	370	259
588	370	258
589	371	258
590	371	257
591	372	256
592	372	255
593	372	254
594	373	254
595	373	253
596	373	252
597	374	251
598	374	250
599	375	250
600	375	249
601	376	248
602	376	247
603	376	247
604	377	246
605	377	245
606	377	244
607	378	243
608	378	243
609	379	242
610	379	241
611	379	240
612	384	242
613	384	241
614	385	241
615	386	240
616	386	239
617	386	239
618	387	238
619	387	237
620	388	237
621	388	236
622	389	235
623	389	234
624	390	234
625	390	233
626	391	232
627	391	232
628	392	231
629	392	230
630	393	229
631	393	229
632	394	228
633	394	227
634	395	227
635	395	226
636	395	225
637	396	224
638	396	224
639	397	223
640	397	222
641	397	221
642	398	221
643	398	220
644	399	219
645	399	219
646	400	218
647	400	217
648	400	216
649	401	216
650	401	215
651	402	214
652	402	214
653	403	213
654	403	212
655	403	211
656	404	210
657	404	210
658	404	209
659	405	208
660	405	207
661	405	207
662	406	206
663	406	205
664	406	204
665	406	204
666	407	203
667	407	202
668	407	201
669	408	201
670	408	200
671	409	199
672	409	198
673	409	198
674	410	197
675	410	196
676	410	195
677	410	195
678	411	194
679	411	193
680	411	192
681	412	192
682	412	191
683	412	190
684	413	190
685	413	189
686	413	188
687	414	187
688	414	187
689	414	186
690	415	185
691	415	184
692	415	184
693	415	183
694	416	182
695	416	181
696	416	181
697	417	180
698	417	179
699	417	179
700	418	178
701	418	177
702	419	177
703	419	176
704	419	175
705	420	174
706	420	174
707	420	173
708	420	172
709	421	172
710	421	171
711	421	170
712	422	169
713	422	169
714	422	168
715	423	167
716	423	167
717	423	166
718	423	165
719	424	164
720	424	164
721	424	163
722	425	162
723	425	162
724	425	161
725	426	160
726	426	160
727	427	159
728	427	159
729	428	158
730	428	157
731	429	157
732	429	156
733	429	155
734	430	155
735	430	154
736	431	153
737	431	153
738	431	152
739	431	151
740	432	151
741	432	150
742	432	149
743	433	149
744	433	148
745	433	147
746	434	147
747	434	146
748	434	145
749	435	145
750	435	144
751	435	143
752	435	142
753	436	142
754	436	141
755	436	141
756	437	140
757	437	139
758	437	139
759	438	138
760	438	137
761	438	137
762	439	136
763	439	135
764	439	135
765	440	134
766	440	133
767	440	133
768	441	132
769	441	131
770	441	131
771	442	130
772	442	129
773	442	129
774	443	128
775	443	128
776	443	127
777	444	126
778	445	126
779	445	125
780	446	125
781	446	124
782	446	123
783	447	123
784	447	122
785	447	121
786	448	121
787	448	120
788	448	119
789	451	120
790	452	119
791	453	119
792	454	118
793	454	117
794	455	117
795	455	116
796	456	116
797	456	115
798	457	115
799	458	114
800	458	113
801	459	113
802	459	112
803	460	112
804	460	111
805	461	111
806	462	110
807	462	109
808	463	109
809	464	108
810	464	108
811	464	107
812	465	106
813	465	106
814	465	105
815	466	105
816	466	104
817	466	103
818	467	103
819	467	102
820	467	101
821	468	101
822	468	100
823	469	100
824	469	99
825	469	98
826	470	98
827	470	97
828	470	97
829	471	96
830	471	95
831	472	95
832	472	94
833	479	95
834	479	94
835	480	94
836	481	93
837	483	93
838	485	93
839	485	92
840	486	91
841	486	91
842	487	90
843	487	90
844	488	89
845	488	88
846	489	88
847	489	87
848	489	87
849	490	86
850	490	85
851	490	85
852	490	84
853	491	83
854	491	83
855	492	82
856	493	82
857	493	81
858	494	81
859	494	80
860	495	80
861	496	79
862	497	78
863	497	78
864	498	77
865	498	77
866	499	76
867	499	75
868	499	75
869	500	74
870	500	74
871	500	73
872	501	72
873	501	72
874	502	71
875	502	71
876	502	70
877	503	69
878	503	69
879	504	68
880	509	68
881	510	68
882	511	67
883	512	67
884	513	66
885	514	66
886	514	65
887	515	64
888	515	64
889	516	63
890	516	63
891	517	62
892	517	62
893	518	61
894	518	60
895	519	60
896	519	59
897	519	59
898	520	58
899	520	57
900	521	57
901	521	56
902	522	56
903	522	55
904	522	54
905	523	54
906	523	53
907	523	53
908	524	52
909	525	51
910	525	51
911	526	50
912	526	50
913	526	49
914	527	48
915	527	48
916	528	47
917	528	47
918	528	46
919	529	46
